v_0;v_1;v_2;v_3;v_4;v_5;v_6;v_7;v_8;v_9;v_11;v_19;v_20;v_21;v_22;v_23;v_24;v_25;v_26;v_27;v_34;v_35
4;0;2;1;1;1;0;1;0;2;1;0;3;1;1;1;0;0;0;0;0;D1
5;0;2;1;0;3;1;1;1;2;1;1;3;0;1;1;0;0;0;0;0;D1
3;0;2;1;0;2;0;2;1;1;1;0;3;0;1;1;0;0;0;0;0;D1
6;0;2;1;0;1;1;1;0;0;1;1;3;1;1;1;0;0;0;0;0;D1
4;0;2;1;0;3;0;2;0;2;1;0;3;1;1;1;0;0;0;0;0;D1
5;0;2;1;0;2;0;1;1;0;1;1;3;1;1;1;0;0;0;0;0;D1
3;0;2;1;0;2;1;1;0;1;1;1;3;0;1;1;0;0;0;0;0;D1
3;0;2;1;0;1;0;2;1;2;1;0;3;0;1;1;0;0;0;0;0;D1
6;0;2;1;0;3;0;1;1;1;1;0;3;1;1;1;0;0;0;0;0;D1
6;0;2;1;0;1;0;1;0;2;1;0;3;1;1;1;0;0;0;0;0;D1
6;0;0;2;1;0;2;1;0;0;1;1;0;3;0;0;0;2;1;0;0;D2
4;0;0;1;0;2;3;1;1;1;1;0;0;3;0;0;0;2;1;0;0;D2
5;0;0;2;0;3;2;1;0;2;1;0;0;3;0;0;0;2;1;0;0;D2
6;0;0;1;1;3;3;1;1;0;1;0;0;3;0;0;0;2;1;0;0;D2
3;0;0;2;1;0;2;1;0;1;1;0;0;3;0;0;0;2;1;0;0;D2
4;0;0;1;1;1;3;1;1;1;1;1;0;3;0;0;0;2;1;0;0;D2
3;0;0;1;0;1;2;1;0;0;1;0;0;3;0;0;0;2;1;0;0;D2
5;0;0;2;1;2;2;1;0;2;1;1;0;3;0;0;0;2;1;0;0;D2
6;0;0;2;0;1;3;1;1;0;1;0;0;3;0;0;0;2;1;0;0;D2
5;0;0;2;1;3;3;1;1;2;1;0;0;3;0;0;0;2;1;0;0;D2
0;1;2;0;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;3;0;D3
2;1;2;0;0;3;1;2;0;1;0;0;1;1;0;1;0;0;0;3;0;D3
2;1;2;0;0;2;1;1;0;2;0;0;1;1;0;1;1;0;0;3;0;D3
0;1;2;0;0;0;1;1;1;2;0;0;1;1;0;1;0;0;0;3;0;D3
0;1;2;0;0;2;1;1;1;1;0;0;1;1;0;1;0;0;0;3;0;D3
4;0;2;0;1;0;1;2;0;2;1;1;1;1;0;1;1;0;0;3;0;D3
2;1;2;0;0;3;1;2;0;2;0;0;1;1;0;1;1;0;0;3;0;D3
0;1;2;0;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;3;1;D3
3;0;2;0;1;3;1;2;0;1;0;1;1;1;0;1;1;0;0;3;0;D3
0;1;2;0;0;1;1;2;1;2;0;0;1;1;0;1;0;0;0;3;0;D3
2;1;2;1;1;3;1;2;1;2;1;0;2;2;0;1;0;0;0;3;1;D4
0;1;1;1;0;1;1;1;0;0;1;0;1;2;0;0;0;0;0;3;1;D4
3;1;2;0;0;1;1;2;1;0;1;0;2;2;0;0;0;0;0;3;1;D4
2;1;2;1;1;1;1;2;0;2;1;0;1;2;0;1;0;0;0;3;1;D4
1;1;2;0;0;3;1;1;1;2;1;0;2;2;0;0;0;0;0;3;1;D4
1;1;2;1;0;0;1;2;1;1;1;0;2;2;0;0;0;0;0;3;1;D4
0;1;2;1;0;3;1;1;0;0;1;0;1;2;0;0;0;0;0;3;1;D4
2;1;2;0;0;1;1;2;0;0;1;0;1;2;0;0;0;0;0;3;1;D4
3;1;2;0;0;2;1;2;1;1;1;0;2;2;0;0;0;0;0;3;1;D4
3;1;1;0;0;2;1;2;1;2;1;0;2;2;0;0;0;0;0;3;1;D4
0;1;2;1;1;1;1;1;0;0;1;0;1;2;0;1;0;0;0;3;1;D4
1;1;2;1;1;3;1;2;0;1;1;1;1;2;0;1;0;0;0;3;1;D4
1;1;2;0;0;0;1;2;1;0;1;0;2;2;0;0;0;0;0;3;1;D4
1;1;2;1;1;2;3;1;1;1;1;0;2;2;0;1;0;0;0;3;1;D4
2;1;1;0;0;3;1;2;0;2;1;0;1;2;0;0;0;0;0;3;1;D4
0;1;1;1;1;2;1;2;1;0;1;1;2;2;0;1;0;0;0;3;1;D4
0;1;2;1;0;3;1;1;0;2;1;0;1;2;0;0;0;0;0;3;1;D4
