Variáveis;F_Scores;p-Values;Acum;Acum_%
v_6;244.384;0.0;244.384;20.237181382230357
v_12;207.92;0.0;452.304;37.45481736901073
v_11;149.989;0.0;602.293;49.87524832332586
v_0;136.75;0.0;739.043;61.199371645720134
v_10;116.322;0.0;855.365;70.83187382566562
v_5;100.173;0.0;955.538;79.12709434174754
v_9;73.248;0.0;1028.786;85.19268399526663
v_3;46.047;0.0;1074.833;89.0057875172139
v_8;42.733;0.0;1117.566;92.54446219316179
v_1;37.131;0.0;1154.6970000000001;95.61924115538353
v_7;27.282;0.0;1181.979;97.87843481155582
v_2;13.19;4.6e-06;1195.169;98.97068480513812
v_4;12.43;9e-06;1207.5990000000002;100.0
